Destination.City,Orgin.City,Satisfaction,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,No.of.Flights.p.a.,X..of.Flight.with.other.Airlines,Type.of.Travel,No..of.other.Loyalty.Cards,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Airline.Code,Airline.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Arrival.Delay.greater.5.Mins,olong,olat,dlong,dlat
"Memphis, TN","Atlanta, GA",3,Blue,18,Male,2,2003,8,5,Mileage tickets,1,0,15,Eco,2,3/2/14,DL,Sigma Airlines Inc.,Georgia,Tennessee,16,0,0,No,55,332,no,-84.331858,33.824102,-89.917857,35.095071
"Detroit, MI","Chicago, IL",3,Silver,76,Male,4,2008,13,4,Personal Travel,0,0,30,Eco,14,3/14/14,WN,Cheapseats Airlines Inc.,Illinois,Michigan,17,8,3,No,48,228,no,-87.895427,41.827126,-83.227554,42.490005
"Springfield, MO","Atlanta, GA",4,Blue,40,Female,1,2010,11,15,Business travel,2,45,120,Eco,19,3/19/14,EV,FlyFast Airways Inc.,Georgia,Missouri,8,0,0,No,93,563,no,-84.331858,33.824102,-93.287053,37.148873
"San Francisco, CA","Atlanta, GA",3,Blue,56,Female,1,2008,18,3,Business travel,0,90,85,Eco Plus,27,2/27/14,DL,Sigma Airlines Inc.,Georgia,California,13,64,71,No,298,2139,yes,-84.331858,33.824102,-122.383287,37.754645
"Oklahoma City, OK","Atlanta, GA",4,Blue,77,Female,2,2003,23,10,Mileage tickets,0,0,60,Eco,31,3/31/14,FL,FlyHere Airways,Georgia,Oklahoma,15,0,0,No,109,761,no,-84.331858,33.824102,-97.524305,35.504826
"Sitka, AK","Ketchikan, AK",4,Blue,17,Male,1,2003,8,1,Mileage tickets,1,0,0,Eco,17,1/17/14,AS,FlyToSun Airlines Inc.,Alaska,Alaska,16,71,57,No,35,183,yes,-131.727792,55.397372,-135.278004,57.034595
"Dallas, TX","Amarillo, TX",2,Blue,52,Male,2,2009,40,3,Personal Travel,0,0,20,Eco,2,3/2/14,WN,Cheapseats Airlines Inc.,Texas,Texas,13,14,19,No,57,323,yes,-101.849137,35.197528,-96.972001,32.812727
"Springfield, IL","Chicago, IL",4,Silver,38,Male,2,2005,32,5,Personal Travel,1,0,30,Eco,30,3/30/14,OO,Northwest Business Airlines Inc.,Illinois,Illinois,11,0,0,No,37,174,no,-87.895427,41.827126,-89.642412,39.786626
"Jacksonville, FL","Miami, FL",3,Blue,42,Male,1,2010,37,13,Mileage tickets,1,0,40,Eco,23,1/23/14,MQ,EnjoyFlying Air Services,Florida,Florida,11,7,12,No,54,335,yes,-80.231428,26.175616,-81.64274,30.24014
"Tucson, AZ","Los Angeles, CA",4,Blue,35,Male,2,2011,6,32,Business travel,1,15,15,Eco,30,1/30/14,OO,Northwest Business Airlines Inc.,California,Arizona,8,0,1,No,61,451,no,-118.104332,33.982668,-110.946141,32.254891
"Atlanta, GA","Memphis, TN",1,Blue,79,Male,0,2005,56,1,Personal Travel,0,0,30,Eco,8,2/8/14,DL,Sigma Airlines Inc.,Tennessee,Georgia,6,14,41,No,48,332,yes,-89.917857,35.095071,-84.331858,33.824102
"Atlanta, GA","Tampa, FL",3,Blue,20,Female,2,2007,40,9,Personal Travel,0,0,30,Eco,27,3/27/14,DL,Sigma Airlines Inc.,Florida,Georgia,7,4,0,No,62,406,no,-82.513188,28.006247,-84.331858,33.824102
"New York, NY","Las Vegas, NV",4,Blue,46,Male,1,2012,25,2,Business travel,0,5,60,Eco,31,1/31/14,AA,Paul Smith Airlines Inc.,Nevada,New York,8,0,0,No,240,2248,no,-115.167218,36.134893,-73.970221,40.718357
"San Francisco, CA","New York, NY",2,Blue,75,Female,1,2011,25,10,Personal Travel,0,0,45,Eco,5,1/5/14,DL,Sigma Airlines Inc.,New York,California,19,127,112,No,340,2586,yes,-73.970221,40.718357,-122.383287,37.754645
"San Francisco, CA","Chicago, IL",3,Blue,22,Male,2,2005,46,3,Personal Travel,0,0,65,Eco,14,3/14/14,AA,Paul Smith Airlines Inc.,Illinois,California,16,0,0,No,247,1846,no,-87.895427,41.827126,-122.383287,37.754645
"Seattle, WA","San Francisco, CA",3,Blue,58,Male,2,2010,27,2,Mileage tickets,1,0,15,Eco,29,3/29/14,OU,Oursin Airlines Inc.,California,Washington,20,42,12,No,88,679,yes,-122.383287,37.754645,-122.274661,47.468409
"Washington, DC","Los Angeles, CA",4,Blue,32,Female,2,2003,28,10,Business travel,0,0,60,Eco,4,2/4/14,AA,Paul Smith Airlines Inc.,California,Virginia,7,0,0,No,249,2311,no,-118.104332,33.982668,-77.18974,38.897394
"Washington, DC","Chicago, IL",2,Blue,74,Female,2,2009,20,10,Personal Travel,0,0,120,Eco,5,2/5/14,OU,Oursin Airlines Inc.,Illinois,Virginia,8,19,46,No,75,589,yes,-87.895427,41.827126,-77.18974,38.897394
"Los Angeles, CA","Atlanta, GA",5,Silver,60,Female,1,2010,28,10,Business travel,0,0,80,Eco,31,3/31/14,DL,Sigma Airlines Inc.,Georgia,California,8,0,0,No,274,1947,no,-84.331858,33.824102,-118.104332,33.982668
"Denver, CO","Colorado Springs, CO",3,Blue,29,Female,1,2009,8,13,Personal Travel,1,10,50,Eco,17,1/17/14,OO,Northwest Business Airlines Inc.,Colorado,Colorado,6,0,0,No,21,73,no,-104.77064,38.872952,-104.955096,39.710774
"Flint, MI","Atlanta, GA",2,Blue,68,Male,2,2003,42,9,Personal Travel,0,0,55,Eco,12,1/12/14,DL,Sigma Airlines Inc.,Georgia,Michigan,20,42,17,No,84,645,yes,-84.331858,33.824102,-83.694698,42.988756
"Tampa, FL","Washington, DC",2,Blue,68,Female,2,2010,20,6,Personal Travel,0,0,60,Eco Plus,1,3/1/14,US,Southeast Airlines Co.,Virginia,Florida,11,0,0,No,110,814,no,-77.18974,38.897394,-82.513188,28.006247
"Las Vegas, NV","Orlando, FL",4,Gold,35,Female,2,2003,12,17,Business travel,2,10,100,Eco,22,1/22/14,WN,Cheapseats Airlines Inc.,Florida,Nevada,8,0,0,No,295,2039,no,-81.411184,28.584434,-115.167218,36.134893
"Orlando, FL","New York, NY",4,Blue,28,Female,2,2004,40,19,Personal Travel,2,0,60,Eco,22,2/22/14,B6,OnlyJets Airlines Inc.,New York,Florida,21,0,0,No,144,944,no,-73.970221,40.718357,-81.411184,28.584434
"New York, NY","Boston, MA",3,Blue,61,Female,2,2008,12,3,Business travel,0,66,120,Eco,1,2/1/14,B6,OnlyJets Airlines Inc.,Massachusetts,New York,20,0,0,No,45,187,no,-71.140708,42.373132,-73.970221,40.718357
"Atlanta, GA","Trenton, NJ",2,Gold,61,Female,1,2010,17,8,Personal Travel,0,20,120,Eco Plus,9,3/9/14,F9,GoingNorth Airlines Inc.,New Jersey,Georgia,10,0,0,No,110,701,no,-74.718158,40.228452,-84.331858,33.824102
"Salt Lake City, UT","Fresno, CA",4,Blue,23,Female,1,2011,13,1,Business travel,1,63,45,Business,2,1/2/14,OO,Northwest Business Airlines Inc.,California,Utah,6,12,4,No,75,501,no,-119.761114,36.787755,-111.929515,40.640838
"San Francisco, CA","Portland, OR",4,Blue,47,Female,2,2010,10,32,Business travel,1,55,5,Eco,17,2/17/14,VX,Cool&Young Airlines Inc.,Oregon,California,18,6,1,No,81,550,no,-122.651087,45.520404,-122.383287,37.754645
"Atlanta, GA","Phoenix, AZ",2,Blue,66,Male,2,2011,16,3,Personal Travel,0,0,65,Eco,27,1/27/14,US,Southeast Airlines Co.,Arizona,Georgia,16,0,0,No,187,1587,no,-111.970041,33.494067,-84.331858,33.824102
"Washington, DC","Miami, FL",3,Blue,19,Male,1,2006,23,7,Business travel,1,8,63,Eco,23,3/23/14,AA,Paul Smith Airlines Inc.,Florida,Virginia,21,0,0,No,123,919,no,-80.231428,26.175616,-77.18974,38.897394
"Dallas, TX","Austin, TX",3,Blue,22,Male,1,2012,27,4,Business travel,1,0,60,Eco,27,1/27/14,WN,Cheapseats Airlines Inc.,Texas,Texas,10,54,49,No,36,189,yes,-97.761533,30.358514,-96.972001,32.812727
"Los Angeles, CA","Tucson, AZ",4,Gold,53,Female,1,2012,12,3,Personal Travel,1,60,39,Eco Plus,9,2/9/14,WN,Cheapseats Airlines Inc.,Arizona,California,10,0,0,No,78,451,no,-110.946141,32.254891,-118.104332,33.982668
"Memphis, TN","Chicago, IL",4,Blue,53,Male,2,2004,25,9,Business travel,0,0,135,Eco,14,3/14/14,EV,FlyFast Airways Inc.,Illinois,Tennessee,8,0,0,No,84,491,no,-87.895427,41.827126,-89.917857,35.095071
"Las Vegas, NV","Denver, CO",3,Blue,40,Female,1,2010,13,38,Business travel,4,0,400,Eco,17,3/17/14,F9,GoingNorth Airlines Inc.,Colorado,Nevada,21,26,26,No,93,628,yes,-104.955096,39.710774,-115.167218,36.134893
"Austin, TX","Seattle, WA",3,Blue,64,Female,1,2009,46,5,Personal Travel,0,0,45,Eco,23,1/23/14,AS,FlyToSun Airlines Inc.,Washington,Texas,11,0,5,No,218,1770,no,-122.274661,47.468409,-97.761533,30.358514
"Akron, OH","Atlanta, GA",4,Blue,30,Male,2,2012,23,1,Business travel,0,0,40,Eco,23,2/23/14,EV,FlyFast Airways Inc.,Georgia,Ohio,8,7,0,No,67,528,no,-84.331858,33.824102,-81.491897,41.066225
"New Orleans, LA","Houston, TX",4,Silver,75,Female,2,2012,16,5,Personal Travel,0,60,90,Business,30,1/30/14,OU,Oursin Airlines Inc.,Texas,Louisiana,11,0,0,No,46,305,no,-95.393531,29.784308,-90.143683,29.954653
"Las Vegas, NV","Oklahoma City, OK",1,Blue,80,Female,1,2003,37,6,Personal Travel,0,0,105,Eco Plus,3,3/3/14,WN,Cheapseats Airlines Inc.,Oklahoma,Nevada,16,23,14,No,144,986,yes,-97.524305,35.504826,-115.167218,36.134893
"San Diego, CA","Washington, DC",2,Blue,85,Male,1,2010,24,5,Business travel,0,0,45,Eco,28,3/28/14,US,Southeast Airlines Co.,Virginia,California,8,0,14,No,334,2276,yes,-77.18974,38.897394,-117.128799,32.928728
"Indianapolis, IN","Denver, CO",4,Gold,46,Female,1,2004,6,26,Business travel,2,1,50,Eco,1,2/1/14,OO,Northwest Business Airlines Inc.,Colorado,Indiana,9,187,185,No,108,977,yes,-104.955096,39.710774,-86.145521,39.811262
"Los Angeles, CA","Baltimore, MD",4,Blue,44,Male,1,2003,7,5,Business travel,0,0,30,Eco,21,1/21/14,WN,Cheapseats Airlines Inc.,Maryland,California,10,24,39,No,309,2329,yes,-76.64776,39.234099,-118.104332,33.982668
"San Francisco, CA","Boston, MA",3,Blue,33,Female,1,2010,2,35,Personal Travel,2,0,90,Business,5,2/5/14,OU,Oursin Airlines Inc.,Massachusetts,California,17,NA,NA,Yes,NA,2704,no,-71.140708,42.373132,-122.383287,37.754645
"Las Vegas, NV","Denver, CO",4,Blue,62,Male,1,2003,20,8,Business travel,0,0,80,Eco,6,2/6/14,F9,GoingNorth Airlines Inc.,Colorado,Nevada,19,19,9,No,89,628,yes,-104.955096,39.710774,-115.167218,36.134893
"Atlanta, GA","Akron, OH",2,Blue,18,Male,1,2007,33,6,Personal Travel,0,5,110,Eco,18,2/18/14,EV,FlyFast Airways Inc.,Ohio,Georgia,14,0,0,No,75,528,no,-81.491897,41.066225,-84.331858,33.824102
"Houston, TX","Memphis, TN",5,Gold,43,Male,1,2011,0,7,Business travel,1,0,105,Eco,23,3/23/14,EV,FlyFast Airways Inc.,Tennessee,Texas,14,0,48,No,122,468,yes,-89.917857,35.095071,-95.393531,29.784308
"Seattle, WA","Milwaukee, WI",4,Silver,59,Female,1,2004,10,1,Business travel,0,10,90,Eco,30,1/30/14,WN,Cheapseats Airlines Inc.,Wisconsin,Washington,9,32,16,No,241,1694,yes,-88.100492,43.055654,-122.274661,47.468409
"New York, NY","Las Vegas, NV",4,Blue,40,Female,1,2008,18,5,Business travel,0,30,39,Eco,8,2/8/14,VX,Cool&Young Airlines Inc.,Nevada,New York,14,0,0,No,259,2248,no,-115.167218,36.134893,-73.970221,40.718357
"New York, NY","Orlando, FL",3,Blue,49,Female,2,2006,27,1,Personal Travel,0,80,0,Eco,6,3/6/14,DL,Sigma Airlines Inc.,Florida,New York,19,0,0,No,114,950,no,-81.411184,28.584434,-73.970221,40.718357
"Savannah, GA","Chicago, IL",5,Blue,50,Male,1,2003,15,4,Business travel,0,305,105,Eco Plus,3,1/3/14,EV,FlyFast Airways Inc.,Illinois,Georgia,8,16,9,No,100,773,yes,-87.895427,41.827126,-81.151732,32.044851
"Little Rock, AR","Dallas, TX",2,Gold,80,Female,1,2004,57,4,Personal Travel,0,0,75,Eco,18,2/18/14,WN,Cheapseats Airlines Inc.,Texas,Arkansas,9,14,14,No,45,296,yes,-96.972001,32.812727,-92.321221,34.756564
"San Antonio, TX","Charlotte, NC",2,Blue,75,Male,1,2005,19,2,Personal Travel,0,10,120,Eco,1,1/1/14,US,Southeast Airlines Co.,North Carolina,Texas,18,0,1,No,174,1095,no,-80.815826,35.249654,-98.475376,29.514399
"Orlando, FL","Chicago, IL",3,Blue,49,Female,1,2004,28,6,Business travel,0,0,30,Eco,20,2/20/14,OU,Oursin Airlines Inc.,Illinois,Florida,17,3,42,No,146,1005,yes,-87.895427,41.827126,-81.411184,28.584434
"Seattle, WA","Phoenix, AZ",4,Silver,29,Female,1,2003,0,18,Mileage tickets,1,0,60,Eco,11,3/11/14,US,Southeast Airlines Co.,Arizona,Washington,7,0,0,No,164,1107,no,-111.970041,33.494067,-122.274661,47.468409
"San Francisco, CA","Portland, OR",4,Silver,48,Male,1,2010,8,3,Business travel,1,10,90,Eco,11,3/11/14,OO,Northwest Business Airlines Inc.,Oregon,California,5,0,2,No,78,550,no,-122.651087,45.520404,-122.383287,37.754645
"Detroit, MI","Boston, MA",4,Silver,47,Female,1,2009,16,9,Business travel,1,25,40,Eco,8,3/8/14,DL,Sigma Airlines Inc.,Massachusetts,Michigan,5,0,2,No,106,632,no,-71.140708,42.373132,-83.227554,42.490005
"Denver, CO","Portland, OR",1,Blue,26,Female,2,2003,4,38,Personal Travel,1,0,10,Eco Plus,18,3/18/14,WN,Cheapseats Airlines Inc.,Oregon,Colorado,9,56,62,No,139,991,yes,-122.651087,45.520404,-104.955096,39.710774
"Columbia, SC","Chicago, IL",3,Silver,26,Male,2,2007,6,9,Business travel,0,0,270,Eco,12,3/12/14,EV,FlyFast Airways Inc.,Illinois,South Carolina,16,NA,NA,Yes,NA,667,no,-87.895427,41.827126,-81.077207,34.036236
"San Jose, CA","Phoenix, AZ",5,Platinum,34,Female,2,2005,4,4,Business travel,0,0,35,Eco,10,1/10/14,US,Southeast Airlines Co.,Arizona,California,21,0,0,No,94,621,no,-111.970041,33.494067,-121.945145,37.329845
"Denver, CO","Detroit, MI",4,Blue,38,Female,2,2011,9,4,Business travel,2,0,40,Eco,7,3/7/14,OO,Northwest Business Airlines Inc.,Michigan,Colorado,16,8,7,No,172,1123,yes,-83.227554,42.490005,-104.955096,39.710774
"Providence, RI","Orlando, FL",5,Silver,40,Male,1,2009,17,42,Business travel,4,20,75,Eco,27,3/27/14,B6,OnlyJets Airlines Inc.,Florida,Rhode Island,12,0,0,No,135,1072,no,-81.411184,28.584434,-71.397401,41.776323
"Philadelphia, PA","Minneapolis, MN",4,Silver,36,Female,1,2005,4,16,Business travel,2,0,55,Eco,29,1/29/14,US,Southeast Airlines Co.,Minnesota,Pennsylvania,7,0,0,No,119,980,no,-93.2798,44.978156,-75.298163,39.973331
"Chicago, IL","Detroit, MI",4,Silver,35,Female,0,2010,0,3,Personal Travel,2,0,60,Eco,5,1/5/14,EV,FlyFast Airways Inc.,Michigan,Illinois,11,NA,NA,Yes,NA,235,no,-83.227554,42.490005,-87.895427,41.827126
"Denver, CO","Los Angeles, CA",1,Blue,54,Female,2,2007,15,8,Personal Travel,0,0,45,Business,12,2/12/14,OU,Oursin Airlines Inc.,California,Colorado,11,12,12,No,110,862,yes,-118.104332,33.982668,-104.955096,39.710774
"Houston, TX","Jacksonville, FL",4,Silver,43,Male,1,2004,24,10,Business travel,0,0,40,Eco,18,2/18/14,WN,Cheapseats Airlines Inc.,Florida,Texas,17,4,0,No,131,816,no,-81.64274,30.24014,-95.393531,29.784308
"Denver, CO","Seattle, WA",5,Silver,41,Female,1,2010,13,21,Business travel,2,70,100,Eco Plus,10,1/10/14,AS,FlyToSun Airlines Inc.,Washington,Colorado,9,0,0,No,117,1024,no,-122.274661,47.468409,-104.955096,39.710774
"Detroit, MI","Tampa, FL",3,Blue,31,Female,2,2006,13,3,Business travel,3,0,30,Eco,5,3/5/14,DL,Sigma Airlines Inc.,Florida,Michigan,18,0,0,No,127,983,no,-82.513188,28.006247,-83.227554,42.490005
"Cincinnati, OH","Atlanta, GA",2,Blue,65,Female,3,2011,27,9,Personal Travel,0,0,15,Eco,16,3/16/14,DL,Sigma Airlines Inc.,Georgia,Kentucky,19,0,0,No,54,373,no,-84.331858,33.824102,-84.462043,39.185505
"Phoenix, AZ","Boston, MA",4,Blue,52,Female,1,2008,1,9,Personal Travel,2,0,45,Eco,4,1/4/14,US,Southeast Airlines Co.,Massachusetts,Arizona,18,11,3,No,327,2300,no,-71.140708,42.373132,-111.970041,33.494067
"Phoenix, AZ","San Francisco, CA",4,Blue,42,Male,1,2009,55,6,Business travel,0,0,40,Eco,29,3/29/14,US,Southeast Airlines Co.,California,Arizona,15,0,0,No,89,651,no,-122.383287,37.754645,-111.970041,33.494067
"Phoenix, AZ","Columbus, OH",4,Silver,54,Female,1,2003,18,3,Business travel,0,0,95,Eco,17,3/17/14,WN,Cheapseats Airlines Inc.,Ohio,Arizona,9,0,0,No,235,1670,no,-82.968532,40.021161,-111.970041,33.494067
"Columbus, OH","Los Angeles, CA",2,Blue,78,Female,1,2010,24,6,Personal Travel,0,0,30,Eco,13,1/13/14,AA,Paul Smith Airlines Inc.,California,Ohio,10,0,44,No,250,1995,yes,-118.104332,33.982668,-82.968532,40.021161
"Denver, CO","Indianapolis, IN",4,Silver,41,Male,2,2009,0,24,Business travel,3,60,35,Eco,12,2/12/14,F9,GoingNorth Airlines Inc.,Indiana,Colorado,7,0,0,No,141,977,no,-86.145521,39.811262,-104.955096,39.710774
"Charlotte, NC","Minneapolis, MN",2,Blue,78,Female,1,2007,42,5,Personal Travel,0,0,15,Eco,10,2/10/14,US,Southeast Airlines Co.,Minnesota,North Carolina,5,0,0,No,113,930,no,-93.2798,44.978156,-80.815826,35.249654
"Seattle, WA","Anchorage, AK",3,Blue,48,Female,2,2003,4,3,Business travel,1,125,70,Eco,3,2/3/14,AS,FlyToSun Airlines Inc.,Alaska,Washington,10,0,0,No,169,1448,no,-149.847166,61.167916,-122.274661,47.468409
"Denver, CO","Tampa, FL",4,Silver,47,Female,2,2006,17,1,Business travel,0,240,30,Business,23,1/23/14,F9,GoingNorth Airlines Inc.,Florida,Colorado,8,0,2,No,232,1506,no,-82.513188,28.006247,-104.955096,39.710774
"Buffalo, NY","Charlotte, NC",4,Silver,23,Female,1,2012,0,6,Business travel,0,0,60,Eco Plus,12,1/12/14,US,Southeast Airlines Co.,North Carolina,New York,22,0,0,No,73,546,no,-80.815826,35.249654,-78.823675,42.92493
"Chattanooga, TN","Atlanta, GA",4,Blue,44,Male,1,2003,44,7,Business travel,0,40,120,Eco,13,1/13/14,EV,FlyFast Airways Inc.,Georgia,Tennessee,20,43,42,No,27,106,yes,-84.331858,33.824102,-85.210372,35.058501
"Denver, CO","Sacramento, CA",3,Blue,48,Male,2,2004,15,4,Personal Travel,1,0,45,Eco,27,3/27/14,WN,Cheapseats Airlines Inc.,California,Colorado,13,3,0,No,110,909,no,-121.324669,38.638578,-104.955096,39.710774
"San Diego, CA","Phoenix, AZ",3,Blue,77,Female,1,2010,42,6,Mileage tickets,0,0,40,Eco,27,2/27/14,WN,Cheapseats Airlines Inc.,Arizona,California,7,0,11,No,73,304,yes,-111.970041,33.494067,-117.128799,32.928728
"Aspen, CO","Denver, CO",3,Blue,17,Male,2,2005,4,8,Mileage tickets,1,295,0,Eco,1,2/1/14,OO,Northwest Business Airlines Inc.,Colorado,Colorado,16,7,49,No,28,125,yes,-104.955096,39.710774,-106.840283,39.199278
"Philadelphia, PA","Charlotte, NC",4,Silver,35,Female,2,2010,25,7,Business travel,0,60,30,Eco Plus,27,3/27/14,US,Southeast Airlines Co.,North Carolina,Pennsylvania,9,0,0,No,72,449,no,-80.815826,35.249654,-75.298163,39.973331
"Tulsa, OK","Las Vegas, NV",5,Gold,38,Male,1,2003,5,4,Business travel,2,0,195,Business,6,1/6/14,WN,Cheapseats Airlines Inc.,Nevada,Oklahoma,13,44,42,No,134,1076,yes,-115.167218,36.134893,-95.901334,36.105449
"Dallas, TX","New Orleans, LA",4,Blue,42,Male,1,2010,18,2,Business travel,2,0,70,Eco,26,2/26/14,WN,Cheapseats Airlines Inc.,Louisiana,Texas,6,0,0,No,74,436,no,-90.143683,29.954653,-96.972001,32.812727
"Minneapolis, MN","International Falls, MN",3,Blue,74,Female,1,2006,50,4,Personal Travel,0,0,90,Eco,1,3/1/14,OO,Northwest Business Airlines Inc.,Minnesota,Minnesota,6,0,0,No,46,255,no,-93.384879,48.591808,-93.2798,44.978156
"San Diego, CA","Washington, DC",2,Blue,65,Female,1,2010,51,6,Personal Travel,0,30,30,Eco,27,2/27/14,OU,Oursin Airlines Inc.,Virginia,California,12,0,3,No,329,2253,no,-77.18974,38.897394,-117.128799,32.928728
"Phoenix, AZ","Las Vegas, NV",4,Blue,51,Female,1,2008,30,2,Business travel,0,0,70,Eco,3,1/3/14,US,Southeast Airlines Co.,Nevada,Arizona,19,0,0,No,43,255,no,-115.167218,36.134893,-111.970041,33.494067
"Tampa, FL","New York, NY",4,Blue,26,Male,1,2004,0,2,Business travel,0,0,47,Eco,6,1/6/14,DL,Sigma Airlines Inc.,New York,Florida,17,126,143,No,185,1005,yes,-73.970221,40.718357,-82.513188,28.006247
"Minneapolis, MN","Los Angeles, CA",2,Blue,80,Male,2,2010,31,7,Business travel,0,20,30,Eco,27,3/27/14,DL,Sigma Airlines Inc.,California,Minnesota,6,0,0,No,186,1535,no,-118.104332,33.982668,-93.2798,44.978156
"Atlanta, GA","Memphis, TN",2,Blue,38,Female,1,2006,38,7,Personal Travel,3,0,45,Eco Plus,15,2/15/14,DL,Sigma Airlines Inc.,Tennessee,Georgia,17,1,0,No,50,332,no,-89.917857,35.095071,-84.331858,33.824102
"Houston, TX","Cleveland, OH",3,Silver,45,Female,1,2006,18,19,Personal Travel,2,6,20,Eco,17,3/17/14,OO,Northwest Business Airlines Inc.,Ohio,Texas,14,15,0,No,151,1091,no,-81.605443,41.443638,-95.393531,29.784308
"Oklahoma City, OK","Detroit, MI",4,Blue,33,Female,1,2010,25,7,Business travel,2,100,0,Eco,21,2/21/14,EV,FlyFast Airways Inc.,Michigan,Oklahoma,21,33,16,No,138,900,yes,-83.227554,42.490005,-97.524305,35.504826
"Sacramento, CA","Los Angeles, CA",4,Blue,42,Female,1,2008,8,24,Business travel,1,0,145,Eco,23,3/23/14,OO,Northwest Business Airlines Inc.,California,California,8,0,0,No,62,373,no,-118.104332,33.982668,-121.324669,38.638578
"San Francisco, CA","Las Vegas, NV",4,Silver,41,Male,2,2012,6,3,Business travel,0,0,70,Eco,7,1/7/14,OU,Oursin Airlines Inc.,Nevada,California,9,5,4,No,71,414,no,-115.167218,36.134893,-122.383287,37.754645
"St. Louis, MO","Boston, MA",3,Blue,64,Female,1,2011,44,7,Personal Travel,0,60,50,Eco,21,2/21/14,WN,Cheapseats Airlines Inc.,Massachusetts,Missouri,7,0,0,No,172,1047,no,-71.140708,42.373132,-90.340926,38.630705
"Kansas City, MO","Chicago, IL",5,Silver,33,Female,1,2006,6,25,Personal Travel,1,0,35,Eco,20,3/20/14,WN,Cheapseats Airlines Inc.,Illinois,Missouri,21,33,33,No,68,405,yes,-87.895427,41.827126,-94.594897,39.039792
"Minneapolis, MN","Las Vegas, NV",4,Blue,60,Male,1,2006,6,8,Business travel,0,0,30,Eco,7,3/7/14,DL,Sigma Airlines Inc.,Nevada,Minnesota,19,0,0,No,157,1299,no,-115.167218,36.134893,-93.2798,44.978156
"Phoenix, AZ","Denver, CO",3,Blue,80,Female,2,2011,28,7,Personal Travel,0,90,195,Eco,3,3/3/14,US,Southeast Airlines Co.,Colorado,Arizona,14,0,0,No,84,602,no,-104.955096,39.710774,-111.970041,33.494067
"Miami, FL","Pittsburgh, PA",4,Blue,29,Female,2,2010,21,4,Mileage tickets,0,0,50,Eco,19,2/19/14,MQ,EnjoyFlying Air Services,Pennsylvania,Florida,17,0,0,No,134,1013,no,-79.951005,40.456961,-80.231428,26.175616
"Minneapolis, MN","Baltimore, MD",2,Blue,63,Male,1,2010,56,2,Business travel,0,10,20,Eco,16,2/16/14,DL,Sigma Airlines Inc.,Maryland,Minnesota,16,0,2,No,154,936,no,-76.64776,39.234099,-93.2798,44.978156
"Los Angeles, CA","Kahului, HI",4,Blue,43,Female,1,2011,11,25,Business travel,2,0,60,Eco,8,2/8/14,OU,Oursin Airlines Inc.,Hawaii,California,21,8,0,No,272,2486,no,-156.477892,20.886428,-118.104332,33.982668
"Las Vegas, NV","Phoenix, AZ",3,Blue,64,Female,1,2011,33,8,Personal Travel,0,0,30,Eco,24,1/24/14,US,Southeast Airlines Co.,Arizona,Nevada,21,0,0,No,42,255,no,-111.970041,33.494067,-115.167218,36.134893
"Los Angeles, CA","San Jose, CA",3,Blue,67,Male,1,2012,11,10,Business travel,0,0,55,Eco,12,3/12/14,WN,Cheapseats Airlines Inc.,California,California,9,0,6,No,52,308,yes,-121.945145,37.329845,-118.104332,33.982668
"San Francisco, CA","San Diego, CA",3,Blue,16,Male,1,2011,7,2,Mileage tickets,1,0,35,Eco,27,3/27/14,OU,Oursin Airlines Inc.,California,California,11,2,17,No,71,447,yes,-117.128799,32.928728,-122.383287,37.754645
"Atlanta, GA","Pittsburgh, PA",3,Blue,80,Female,1,2005,29,10,Mileage tickets,0,0,105,Eco,19,3/19/14,FL,FlyHere Airways,Pennsylvania,Georgia,18,29,27,No,86,526,yes,-79.951005,40.456961,-84.331858,33.824102
"Salt Lake City, UT","Chicago, IL",3,Blue,18,Male,2,2010,21,2,Business travel,1,2,55,Eco,14,2/14/14,OO,Northwest Business Airlines Inc.,Illinois,Utah,7,16,14,No,187,1250,yes,-87.895427,41.827126,-111.929515,40.640838
"Atlanta, GA","Dallas, TX",4,Silver,30,Male,1,2010,14,10,Business travel,0,0,75,Eco,21,2/21/14,EV,FlyFast Airways Inc.,Texas,Georgia,15,4,0,No,91,721,no,-96.972001,32.812727,-84.331858,33.824102
"St. Louis, MO","Houston, TX",3,Blue,25,Male,1,2012,23,1,Mileage tickets,0,0,45,Eco,17,2/17/14,WN,Cheapseats Airlines Inc.,Texas,Missouri,20,25,20,No,96,687,yes,-95.393531,29.784308,-90.340926,38.630705
"Orlando, FL","New Orleans, LA",5,Blue,58,Male,1,2009,21,2,Business travel,0,0,60,Eco,31,3/31/14,WN,Cheapseats Airlines Inc.,Louisiana,Florida,16,0,0,No,78,551,no,-90.143683,29.954653,-81.411184,28.584434
